user_number,TP,TN,FP,FN
679,0,444,1,0
680,0,354,1,0
681,0,355,1,0
682,0,354,1,0
683,0,353,2,0
684,0,355,1,0
685,0,354,1,0
686,0,354,1,0
687,2,214,0,0
688,0,356,1,0
689,0,355,1,0
690,14,343,0,0
691,0,355,1,0
692,0,354,1,0
693,0,75,1,0
694,0,439,1,0
695,0,356,1,0
696,0,355,1,0
697,0,354,1,0
698,0,330,1,0
699,0,356,1,0
700,0,357,1,0
701,0,354,1,0
702,0,354,1,0
703,0,355,1,0
704,0,354,1,0
705,0,362,1,0
706,0,354,1,0
707,0,357,1,0
708,0,358,1,0
709,0,354,1,0
710,0,355,1,0
711,0,355,1,0
712,0,354,1,0
713,0,354,1,0
714,0,308,1,0
715,0,354,1,0
716,0,356,1,0
717,0,490,1,0
718,21,172,1,7
719,0,107,1,0
720,0,40,1,0
721,0,354,1,0
722,0,356,1,0
723,0,356,1,0
724,0,354,1,0
725,0,355,1,0
726,0,355,1,0
727,0,393,1,0
728,0,354,1,0
729,0,357,1,0
730,0,354,1,0
731,0,354,1,0
732,0,355,1,0
733,0,354,1,0
734,0,102,1,0
735,0,354,1,0
736,0,481,1,0
737,8,347,0,0
738,0,492,1,0
739,0,354,1,0
740,0,354,1,0
741,0,343,1,0
742,0,354,1,0
743,0,354,1,0
744,0,354,1,0
745,0,355,1,0
746,0,354,1,0
747,0,356,1,0
748,0,354,1,0
749,0,355,1,0
750,0,357,1,0
751,0,354,1,0
752,0,354,1,0
753,0,354,1,0
754,0,354,1,0
755,0,354,1,0
756,0,354,1,0
757,0,354,1,0
758,0,125,1,0
759,0,358,1,0
760,0,354,1,0
761,0,354,1,0
762,0,362,1,0
763,0,354,1,0
764,0,354,1,0
765,0,355,1,0
766,30,221,0,1
767,0,354,1,0
768,0,355,1,0
769,0,471,1,0
770,0,356,1,0
771,0,354,1,0
772,0,354,1,0
773,0,325,1,0
774,0,354,1,0
775,0,355,1,0
776,0,354,1,0
777,0,356,1,0
778,0,386,1,0
779,0,354,1,0
780,0,164,1,0
781,0,353,2,0
782,0,355,1,0
783,0,361,1,0
784,0,464,1,0
785,0,419,1,0
786,0,354,1,0
787,0,354,1,0
788,0,429,1,0
789,0,412,1,0
790,0,354,1,0
791,0,354,1,0
792,0,503,1,0
793,0,215,1,0
794,0,354,1,0
795,23,219,6,3
796,0,435,1,0
797,0,354,1,0
798,0,459,1,0
799,0,355,1,0
800,0,354,1,0
801,0,354,1,0
802,0,356,1,0
803,0,355,1,0
804,0,354,1,0
805,0,355,1,0
806,0,243,1,0
807,0,354,1,0
808,0,354,1,0
809,0,358,1,0
810,0,354,1,0
811,0,362,1,0
812,0,510,1,0
813,0,355,1,0
814,0,355,1,0
815,0,392,1,0
816,0,430,1,0
817,0,59,1,0
818,0,355,1,0
819,0,353,2,0
820,0,354,1,0
821,0,354,1,0
822,26,303,3,3
823,0,488,1,0
824,0,355,1,0
825,0,355,1,0
826,0,354,1,0
827,0,483,1,0
828,0,358,1,0
829,0,354,1,0
830,0,356,1,0
831,0,354,1,0
832,0,355,1,0
833,0,499,1,0
834,0,355,1,0
835,0,354,1,0
836,28,217,1,0
837,0,362,1,0
838,0,354,1,0
839,0,354,1,0
840,0,355,1,0
841,0,354,1,0
842,0,354,1,0
843,0,307,1,0
844,0,354,1,0
845,0,355,1,0
846,0,354,1,0
847,0,494,1,0
848,0,355,1,0
849,26,213,0,3
850,0,230,1,0
851,0,354,1,0
852,0,355,1,0
853,0,355,1,0
854,0,354,1,0
855,0,356,1,0
856,0,464,1,0
857,0,354,1,0
858,0,359,1,0
859,0,354,1,0
860,0,354,1,0
861,0,357,1,0
862,0,354,1,0
863,0,355,1,0
864,0,354,1,0
865,0,354,1,0
866,0,354,1,0
867,3,183,2,0
868,0,354,1,0
869,0,313,1,0
870,0,353,2,0
871,0,354,1,0
872,0,354,1,0
873,0,355,1,0
874,0,355,1,0
875,0,354,1,0
876,0,181,1,0
877,0,355,1,0
878,0,354,1,0
879,0,354,1,0
880,0,355,1,0
881,0,354,1,0
882,0,474,1,0
883,0,355,1,0
884,0,354,1,0
885,0,354,1,0
886,0,354,2,0
887,0,356,1,0
888,0,355,1,0
889,0,355,1,0
890,0,356,1,0
891,0,475,1,0
892,0,364,1,0
893,14,481,0,0
894,0,355,1,0
895,0,354,1,0
896,0,355,1,0
897,0,355,1,0
898,0,356,1,0
899,0,356,1,0
900,0,353,2,0
901,2,223,2,0
902,29,253,3,0
903,0,354,1,0
904,0,355,1,0
905,0,185,1,0
906,0,356,1,0
907,0,354,1,0
908,0,354,1,0
909,0,354,1,0
910,0,354,1,0
911,0,354,1,0
912,0,367,1,0
913,0,354,1,0
914,0,355,1,0
915,0,354,1,0
916,0,354,1,0
917,10,253,10,20
918,0,357,1,0
919,0,355,1,0
920,0,354,1,0
921,0,39,1,0
922,0,354,1,0
923,0,354,1,0
924,0,354,1,0
925,0,355,1,0
926,0,38,1,0
927,0,426,1,0
928,0,355,1,0
929,0,355,1,0
930,0,359,1,0
931,0,357,1,0
932,0,354,1,0
933,0,355,1,0
934,0,445,1,0
935,0,355,1,0
936,12,337,6,1
937,0,354,1,0
938,0,363,1,0
939,0,354,1,0
940,0,354,1,0
941,0,355,1,0
942,0,354,1,0
943,0,354,1,0
944,0,355,1,0
945,0,354,1,0
946,0,354,1,0
947,0,257,1,0
948,0,43,1,0
949,0,354,1,0
950,0,354,1,0
951,0,354,1,0
952,0,355,1,0
953,0,354,1,0
954,0,356,1,0
955,0,464,1,0
956,0,351,4,0
957,0,356,1,0
958,0,355,1,0
959,0,355,1,0
960,0,355,1,0
961,0,354,1,0
962,0,60,1,0
963,0,354,1,0
964,0,156,1,0
965,10,345,0,0
966,0,467,1,0
967,0,354,1,0
968,0,355,1,0
969,0,354,1,0
970,0,354,1,0
971,0,354,1,0
972,0,355,1,0
973,0,353,2,0
974,0,367,1,0
975,0,354,1,0
976,0,355,1,0
977,0,355,1,0
978,0,354,1,0
979,0,355,1,0
980,0,256,1,0
981,3,187,3,0
982,0,354,1,0
983,0,354,1,0
984,0,358,1,0
985,0,355,1,0
986,0,147,1,0
987,0,361,1,0
988,0,356,1,0
989,0,354,1,0
990,0,354,1,0
991,0,356,1,0
992,0,386,1,0
993,0,444,1,0
994,0,355,1,0
995,0,355,1,0
996,0,355,1,0
997,9,406,41,0
998,0,360,1,0
999,0,360,1,0
1000,0,361,1,0
1001,0,354,1,0
1002,0,356,1,0
1003,15,340,0,0
1004,0,410,1,0
1005,0,240,1,0
1006,0,355,1,0
1007,0,354,1,0
1008,0,356,1,0
1009,0,354,1,0
1010,0,355,1,0
1011,0,355,1,0
1012,0,355,1,0
1013,0,354,1,0
1014,0,357,1,0
1015,0,354,1,0
1016,0,328,1,0
1017,0,355,1,0
1018,0,101,1,0
1019,0,354,1,0
1020,0,354,2,0
1021,0,420,1,0
1022,0,355,1,0
1023,0,354,1,0
1024,0,355,1,0
1025,0,54,1,0
1026,0,354,1,0
1027,0,355,1,0
1028,0,355,1,0
1029,0,355,1,0
1030,0,381,1,0
1031,0,355,1,0
1032,0,354,1,0
1033,0,355,1,0
1034,4,293,3,0
1035,0,354,1,0
1036,0,354,1,0
1037,0,355,1,0
1038,0,354,1,0
1039,0,355,1,0
1040,0,354,1,0
1041,0,120,1,0
1042,0,354,1,0
1043,0,356,1,0
1044,0,357,1,0
1045,0,358,1,0
1046,0,488,1,0
1047,0,355,1,0
1048,0,355,1,0
1049,0,354,1,0
1050,0,354,1,0
1051,0,355,1,0
1052,0,354,1,0
1053,0,354,1,0
1054,0,355,1,0
1055,0,354,1,0
1056,0,356,1,0
1057,0,355,1,0
1058,0,355,1,0
1059,0,119,1,0
1060,4,149,1,0
1061,0,354,1,0
1062,0,355,1,0
1063,0,354,1,0
1064,0,356,1,0
1065,0,358,1,0
1066,0,354,1,0
1067,0,354,1,0
1068,0,353,2,0
1069,0,354,1,0
1070,0,354,1,0
1071,0,359,1,0
1072,0,354,1,0
1073,0,354,1,0
1074,0,356,1,0
1075,0,354,1,0
1076,0,364,1,0
1077,1,279,0,1
1078,0,354,1,0
1079,0,355,1,0
1080,0,354,1,0
1081,0,354,1,0
1082,10,346,0,0
1083,0,495,1,0
1084,0,356,1,0
1085,0,356,1,0
1086,0,48,1,0
1087,0,354,1,0
1088,0,355,1,0
1089,0,355,1,0
1090,0,354,1,0
1091,0,356,1,0
1092,4,142,2,0
1093,0,356,1,0
1094,0,354,1,0
1095,0,287,1,0
1096,0,355,1,0
1097,0,355,1,0
1098,0,354,1,0
1099,0,423,1,0
1100,0,360,1,0
1101,0,356,1,0
1102,0,355,1,0
1103,0,253,1,0
1104,0,356,1,0
1105,0,354,1,0
1106,0,354,1,0
1107,0,410,1,0
1108,0,355,1,0
1109,0,248,1,0
1110,0,260,1,0
1111,0,357,2,0
1112,0,360,1,0
1113,0,480,1,0
1114,0,354,1,0
1115,0,406,1,0
1116,0,354,1,0
1117,0,355,1,0
1118,0,354,1,0
1119,0,354,1,0
1120,0,354,1,0
1121,0,354,1,0
1122,0,174,1,0
1123,0,354,1,0
1124,0,354,1,0
1125,0,354,1,0
1126,0,359,1,0
1127,0,355,1,0
1128,0,486,1,0
1129,0,355,1,0
1130,0,356,1,0
1131,0,354,1,0
1132,0,353,2,0
1133,0,354,1,0
1134,0,357,1,0
1135,0,353,2,0
1136,0,360,1,0
1137,0,354,1,0
1138,0,354,1,0
1139,0,354,1,0
1140,0,355,1,0
1141,0,355,1,0
1142,0,355,1,0
1143,0,354,1,0
1144,0,443,1,0
1145,0,356,1,0
1146,0,355,1,0
1147,0,267,1,0
1148,0,355,1,0
1149,0,354,1,0
1150,0,354,1,0
1151,0,360,1,0
1152,0,355,1,0
1153,31,213,3,6
1154,0,354,1,0
1155,0,356,1,0
1156,0,35,1,0
1157,0,354,1,0
1158,0,355,1,0
1159,0,354,1,0
1160,0,246,1,0
1161,0,355,1,0
1162,0,354,1,0
1163,0,357,1,0
1164,0,355,1,0
1165,0,354,1,0
1166,0,355,1,0
1167,0,354,1,0
1168,0,354,1,0
1169,1,338,0,1
1170,0,420,1,0
1171,0,28,1,0
1172,0,355,1,0
1173,0,309,1,0
1174,0,358,1,0
1175,0,354,1,0
1176,0,354,1,0
1177,0,355,1,0
1178,0,356,1,0
1179,0,418,1,0
1180,0,354,1,0
1181,0,402,1,0
1182,0,354,1,0
1183,0,354,1,0
1184,0,354,1,0
1185,0,355,1,0
1186,0,354,1,0
1187,0,357,1,0
1188,0,460,1,0
1189,0,354,1,0
1190,0,354,1,0
1191,0,354,1,0
1192,0,450,1,0
1193,0,362,1,0
1194,0,355,1,0
1195,0,354,1,0
1196,0,282,1,0
1197,0,354,1,0
1198,0,395,1,0
1199,0,355,1,0
1200,0,331,1,0
1201,0,354,1,0
1202,0,355,1,0
1203,0,486,1,0
1204,0,354,1,0
1205,0,354,1,0
1206,0,356,1,0
1207,0,355,1,0
1208,0,354,1,0
1209,0,221,1,0
1210,0,356,1,0
1211,0,317,1,0
1212,0,355,1,0
1213,0,216,1,0
1214,0,492,1,0
1215,0,354,1,0
1216,0,354,1,0
1217,0,356,1,0
